turbine_id,season,wind_speed_bin,power_kw,sample_count
T01,winter,4.5,30.304000000000002,20
T01,winter,5.0,39.638,31
T01,winter,5.5,80.71600000000001,28
T01,winter,6.0,157.488,33
T01,winter,6.5,180.896,31
T01,winter,7.0,261.488,14
T02,winter,4.5,24.562,17
T02,winter,5.0,38.8055,32
T02,winter,5.5,74.172,23
T02,winter,6.0,129.47,35
T02,winter,6.5,195.744,38
T02,winter,7.0,262.0845,12
T03,winter,4.5,59.989999999999995,16
T03,winter,5.0,45.807,23
T03,winter,5.5,103.8535,30
T03,winter,6.0,134.785,27
T03,winter,6.5,203.982,31
T03,winter,7.0,288.8335,20
